codec,uncompressed_size,compressed_size,compression_ratio,compression_time_s,compression_max_RSS_kB,decompression_time_s,decompression_max_RSS_kB,filename,stream_id,test_set,compression_speed_MiB/s,decompression_speed_MiB/s,compression_rank,compression_speed_rank,decompression_speed_rank
bzip2,6079110,1308741,0.215284967700864,0.82,9660,0.28,6828,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.TagSAZ,TagSAZ,1,7.070111065,4.45754528,1,3,5
xz,6079110,1329944,0.218772813783597,4.84,123740,0.23,9516,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.TagSAZ,TagSAZ,1,1.197828734,5.514493196,2,5,4
rANS-0,6079110,2965252,0.487777322667298,0.16,4612,0.17,4564,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.TagSAZ,TagSAZ,1,36.23431921,16.63461573,6,1,1
rANS-1,6079110,2390861,0.393291287704944,0.2,4412,0.21,5772,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.TagSAZ,TagSAZ,1,28.98745537,10.85763205,5,2,3
GABAC,6079110,2085855,0.343118482804226,11.82,92136,0.53,108956,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.TagSAZ,TagSAZ,1,0.490481478,3.753257248,4,6,6
gzip,47292688,2634845,0.055713580923969,14.03,1784,0.66,1628,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditXlen,EditXlen,1,3.214670128,3.807248491,6,5,1
bzip2,47292688,2216338,0.046864284812908,1.11,10204,0.9,6816,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditXlen,EditXlen,1,40.63227198,2.348516252,4,3,3
xz,47292688,2533044,0.053561007147659,25.03,485688,0.72,49136,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditXlen,EditXlen,1,1.801910583,3.355137507,5,6,2
rANS-0,47292688,1945762,0.041142977535978,0.83,3660,0.94,4136,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditXlen,EditXlen,1,54.33954446,1.974067282,3,1,4
rANS-1,47292688,1934322,0.040901079676419,0.95,3848,1.05,5452,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditXlen,EditXlen,1,47.475602,1.756869725,2,2,5
GABAC,47292688,1897465,0.040121741441299,2.54,900872,2.33,903196,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditXlen,EditXlen,1,17.7566228,0.776636754,1,4,6
gzip,94759522,35286214,0.37237644571487,51.3,1776,1.78,1712,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.TagXSj,TagXSj,1,1.761593029,18.90536855,5,5,2
bzip2,94759522,30615717,0.323088554625677,8.08,10288,6.06,6996,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.TagXSj,TagXSj,1,11.18437158,4.818056598,3,3,5
xz,94759522,29659240,0.312994824942236,119.16,685576,3.49,67724,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.TagXSj,TagXSj,1,0.758389748,8.104657717,2,6,4
rANS-0,94759522,53981986,0.56967347302575,2.27,4732,2.21,5056,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.TagXSj,TagXSj,1,39.81045038,23.29467584,6,1,1
rANS-1,94759522,29410351,0.310368292064622,2.37,4848,2.65,5748,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.TagXSj,TagXSj,1,38.13068454,10.58411184,1,2,3
GABAC,94759522,32510029,0.343079284422731,10.19,1795112,12.83,1860044,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.TagXSj,TagXSj,1,8.868471282,2.416522189,4,4,7
gzip,185117189,25496970,0.137734211165015,288.32,1688,2.6,1592,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.readNameIndex,readNameIndex,1,0.612311004,9.35223286,5,5,2
bzip2,185117189,24995929,0.135027595951665,35.18,10644,7.91,6968,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.readNameIndex,readNameIndex,1,5.018235039,3.013650506,4,3,5
xz,185117189,21552436,0.116425903593426,293.41,691564,3.39,67908,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.readNameIndex,readNameIndex,1,0.601688793,6.063128221,3,6,3
rANS-0,185117189,48368373,0.261285152725607,3.51,4128,3.9,4544,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.readNameIndex,readNameIndex,1,50.29672612,11.82760899,6,2,1
rANS-1,185117189,19022307,0.102758188489995,3.39,3832,4.26,5484,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.readNameIndex,readNameIndex,1,52.0771412,4.258470804,1,1,4
GABAC,185117189,20320158,0.109769158173637,42.87,3549016,54.75,3601292,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.readNameIndex,readNameIndex,1,4.118066449,0.353950919,2,4,7
gzip,4186143,2834536,0.677123547857777,0.42,1748,0.12,1644,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditHSlen,EditHSlen,1,9.505278724,22.52686818,3,3,1
bzip2,4186143,2899404,0.69261943512202,0.51,9832,0.42,6880,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditHSlen,EditHSlen,1,7.827876596,6.58354078,5,4,5
xz,4186143,2701532,0.645351102434867,1.69,105976,0.32,8372,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditHSlen,EditHSlen,1,2.362258618,8.05119276,1,6,4
rANS-0,4186143,2975561,0.710812076892739,0.14,4740,0.14,4860,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditHSlen,EditHSlen,1,28.51583617,20.26940073,6,1,2
rANS-1,4186143,2850227,0.680871867014576,0.17,5168,0.16,6144,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditHSlen,EditHSlen,1,23.48362979,16.98867679,4,2,3
GABAC,4186143,2811720,0.671673184599762,1.44,103952,1.29,106424,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditHSlen,EditHSlen,1,2.772372961,2.078655154,2,5,6
gzip,94759522,18429607,0.194488180301289,299.39,1796,1.51,1708,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.pairedTLenBit,pairedTLenBit,1,0.301846162,11.63963103,5,6,1
bzip2,94759522,18475266,0.194970021060258,9.55,10512,5.36,6948,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.pairedTLenBit,pairedTLenBit,1,9.462798154,3.287199006,6,3,5
xz,94759522,16342420,0.172462035002667,173.58,685724,2.09,67840,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.pairedTLenBit,pairedTLenBit,1,0.520622896,7.457103455,4,5,3
rANS-0,94759522,16189769,0.170851104546517,1.65,3984,1.94,4256,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.pairedTLenBit,pairedTLenBit,1,54.76952871,7.958642724,3,1,2
rANS-1,94759522,15352993,0.162020583008006,1.95,4072,2.21,5672,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.pairedTLenBit,pairedTLenBit,1,46.34344737,6.625228554,2,2,4
GABAC,94759522,14863071,0.156850421849954,48.71,1794304,22.58,1808752,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.pairedTLenBit,pairedTLenBit,1,1.855260159,0.62774708,1,4,6
gzip,94610597,92717,0.000979985360414,0.94,1836,1.38,1732,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.TagMDZ,TagMDZ,1,95.98691108,0.064073784,6,1,1
bzip2,94610597,862,9.11103013122304E-06,1.16,9732,1.18,5740,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.TagMDZ,TagMDZ,1,77.78249691,0.000696667,2,2,5
xz,94610597,14688,0.000155246880009,9.88,684708,0.38,67864,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.TagMDZ,TagMDZ,1,9.132357937,0.036862022,5,6,2
rANS-0,94610597,11944,0.000126243786412,1.29,2536,1.64,3376,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.TagMDZ,TagMDZ,1,69.94395071,0.00694554,4,3,3
rANS-1,94610597,10156,0.000107345269156,1.47,2664,1.87,4404,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.TagMDZ,TagMDZ,1,61.37938532,0.005179421,3,4,4
GABAC,94610597,788,8.32887673248695E-06,5.33,836488,1.95,1054624,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.TagMDZ,TagMDZ,1,16.92827325,0.000385382,1,5,7
gzip,94759522,18453426,0.19473954290314,117.11,1816,14.72,1596,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditOPLen,EditOPLen,1,0.771665292,1.195554241,6,5,5
bzip2,94759522,17708778,0.186881250836196,7.25,10452,6.16,6884,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditOPLen,EditOPLen,1,12.46478929,2.741624473,5,3,4
xz,94759522,15969744,0.168529174302927,151.29,685764,3.56,67724,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditOPLen,EditOPLen,1,0.597327797,4.278071543,4,6,3
rANS-0,94759522,15418742,0.162714434123043,1.7,4336,2.21,4576,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditOPLen,EditOPLen,1,53.15866022,6.653601012,3,1,1
rANS-1,94759522,14839572,0.156602436217439,2.31,4156,2.21,5580,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditOPLen,EditOPLen,1,39.12109193,6.403673612,2,2,2
GABAC,94759522,14205473,0.149910770972441,39.68,1794316,34.68,1809336,01_ERR17431.aln.sort.dupmark.rg.11.sam.deez_rawstreams.EditOPLen,EditOPLen,1,2.277462761,0.390639987,1,4,7
