codec,uncompressed_size,compressed_size,compression_ratio,compression_time_s,compression_max_RSS_kB,decompression_time_s,decompression_max_RSS_kB,filename,stream_id,test_set,compression_speed_MiB/s,decompression_speed_MiB/s,compression_rank,compression_speed_rank,decompression_speed_rank
xz,21511323,7571664,0.351985045271274,16.47,260880,1.09,23872,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_NP,DS_NP,1,1.245585687,6.624680265,1,6,5
rANS-0,21511323,15832006,0.735984764860813,0.6,4748,0.53,4992,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_NP,DS_NP,1,34.1913271,28.48788207,6,1,1
rANS-1,21511323,12627245,0.58700457428862,0.73,5840,0.71,6424,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_NP,DS_NP,1,28.10246063,16.96095668,5,2,3
GABAC,21511323,8772494,0.407808204079312,4.12,408896,2.23,437948,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_NP,DS_NP,1,4.97931948,3.751615345,2,4,7
gzip,74938431,40640042,0.542312421779954,23.75,1784,1.99,1636,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FP,DS_NP,1,3.009130819,19.47606245,3,4,2
bzip2,74938431,40465488,0.539983122945288,9.3,9856,5.71,6976,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FP,DS_FP,1,7.684608275,6.758475763,2,3,5
xz,74938431,37624888,0.502077338662188,52.46,667460,4.22,67736,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FP,DS_FP,1,1.362311417,8.50281738,1,6,4
rANS-0,74938431,49788503,0.664392119445362,1.95,4740,2.02,4900,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FP,DS_FP,1,36.64967023,23.50594879,6,1,1
rANS-1,74938431,43076971,0.574831504011607,2.7,5232,2.68,6096,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FP,DS_FP,1,26.46920628,15.32888092,4,2,3
GABAC,74938431,43323359,0.578119376425162,45.27,1380056,32.66,1757216,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_FP,DS_FP,1,1.578680295,1.265045156,5,5,6
gzip,6300035,1745871,0.277120841392151,1.25,1744,0.13,1604,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_SAZ,DS_SAZ,1,4.806545258,12.80763333,3,4,2
bzip2,6300035,1309170,0.207803607440276,0.79,9916,0.4,6720,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_SAZ,DS_SAZ,1,7.605293129,3.121304512,1,3,5
xz,6300035,1333068,0.211596919699652,6.05,123580,0.23,8556,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_SAZ,DS_SAZ,1,0.993087863,5.527446581,2,5,4
rANS-0,6300035,3137804,0.498061359976572,0.17,4520,0.17,4608,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_SAZ,DS_SAZ,1,35.34224454,17.60260638,6,1,1
rANS-1,6300035,2390313,0.379412654056684,0.2,4284,0.23,5892,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_SAZ,DS_SAZ,1,30.04090786,9.911217897,5,2,3
GABAC,6300035,2106029,0.334288460302205,12.74,91728,2.28,105040,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_SAZ,DS_SAZ,1,0.471599809,0.880906038,4,6,7
gzip,87459522,294967,0.003372611617978,1.61,1804,1.3,1624,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_RL,DS_RL,1,51.80614898,0.216386502,4,5,2
bzip2,87459522,177739,0.00203224298436,1.36,9732,1.13,5944,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_RL,DS_RL,1,61.32933813,0.15000453,1,3,5
xz,87459522,247952,0.002835048652564,6.51,678816,0.96,67752,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_RL,DS_RL,1,12.8122734,0.246318181,3,6,1
rANS-0,87459522,335987,0.003841628587908,1.1,2804,1.52,3412,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_RL,DS_RL,1,75.82536351,0.210804061,5,1,3
rANS-1,87459522,336664,0.003849369311669,1.44,3084,1.88,4720,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_RL,DS_RL,1,57.92215268,0.17078075,6,4,4
GABAC,87459522,178598,0.002042064670786,1.16,773948,1.77,1060684,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_RL,DS_RL,1,71.90336195,0.096228433,2,2,6
gzip,68672005,13814911,0.201172384583791,79.17,1880,1.15,1692,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BS,DS_BS,1,0.827216464,11.45645722,5,5,1
bzip2,68672005,13247566,0.192910721042731,6.64,10092,3.47,6944,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BS,DS_BS,1,9.863061359,3.640882838,3,3,5
xz,68672005,12323816,0.179459096905646,87.69,660824,1.56,67836,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BS,DS_BS,1,0.746843738,7.533914615,2,6,4
rANS-0,68672005,16186536,0.235707927852114,1.25,4096,1.49,4340,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BS,DS_BS,1,52.39258194,10.36019037,6,1,2
rANS-1,68672005,13713596,0.199697038116187,1.4,3960,1.73,5704,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BS,DS_BS,1,46.77909102,7.559713463,4,2,3
GABAC,68672005,12149634,0.17692266302695,12.43,1078444,10.65,1090484,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_BS,DS_BS,1,5.268763268,1.087961869,1,4,6
gzip,94139522,15188726,0.16134271427467,311.13,1792,1.83,1676,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_CF,DS_CF,1,0.288556051,7.915354036,5,6,1
bzip2,94139522,15570411,0.165397175056827,18.71,9884,7.43,6940,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_CF,DS_CF,1,4.798420326,1.998533118,6,4,5
xz,94139522,13360592,0.141923304008278,173.32,685900,2.19,67776,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_CF,DS_CF,1,0.517992409,5.818106595,3,5,3
rANS-0,94139522,13453670,0.142912027957822,1.69,3968,2.27,4340,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_CF,DS_CF,1,53.12333982,5.652167198,4,1,4
rANS-1,94139522,12779985,0.135755788095036,1.88,3852,2.09,5548,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_CF,DS_CF,1,47.75449164,5.831551894,2,2,2
GABAC,94139522,12467870,0.13244033680137,15.43,1791476,18.07,1802736,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_CF,DS_CF,1,5.818434497,0.658012584,1,3,7
gzip,90162026,19617031,0.217575312693173,49.67,1828,1.43,1600,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_SC,DS_SC,1,1.731129626,13.08269834,3,4,1
bzip2,90162026,19310838,0.214179282084899,11.27,9892,4.54,6992,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_SC,DS_SC,1,7.629565973,4.056442782,2,3,5
xz,90162026,17229808,0.191098279002737,110.91,680628,2.19,67796,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_SC,DS_SC,1,0.775270116,7.503025281,1,5,4
rANS-0,90162026,24783028,0.274872128538904,1.96,4148,1.94,4340,01_ERR17431.aln.sort.dupmark.rg.11.bam.cram_rawstreams.DS_SC,DS_SC,1,43.87000434,12.18295736,6,1,2
