encoded_length,current_encoded_length,best_encoded_length,encoded_ratio,current_encoded_ratio,best_encoded_ratio,encoding_time,total_encoding_time
224349.0,224349.0,147354.0,0.2668280209324453,0.2668280209324453,0.1752545195052331,0.04497528076171875,2.4637439250946045
224349.0,224349.0,147354.0,0.2668280209324453,0.2668280209324453,0.1752545195052331,0.04538989067077637,2.509133815765381
226420.0,226420.0,147354.0,0.26929115128449094,0.26929115128449094,0.1752545195052331,0.046715497970581055,2.555849313735962
147547.0,147547.0,147354.0,0.17548406279733586,0.17548406279733586,0.1752545195052331,0.03969454765319824,2.59554386138916
148853.0,148853.0,147354.0,0.1770373453853473,0.1770373453853473,0.1752545195052331,0.03968048095703125,2.6352243423461914
171636.0,171636.0,147354.0,0.20413415794481446,0.20413415794481446,0.1752545195052331,0.04218721389770508,2.6774115562438965
147547.0,147547.0,147354.0,0.17548406279733586,0.17548406279733586,0.1752545195052331,0.03977656364440918,2.7171881198883057
171636.0,171636.0,147354.0,0.20413415794481446,0.20413415794481446,0.1752545195052331,0.04214358329772949,2.759331703186035
191778.0,191778.0,147354.0,0.22808991436726928,0.22808991436726928,0.1752545195052331,0.03670144081115723,2.7960331439971924
171636.0,171636.0,147354.0,0.20413415794481446,0.20413415794481446,0.1752545195052331,0.04265284538269043,2.838685989379883
171636.0,171636.0,147354.0,0.20413415794481446,0.20413415794481446,0.1752545195052331,0.04230618476867676,2.8809921741485596
171543.0,171543.0,147354.0,0.2040235490009515,0.2040235490009515,0.1752545195052331,0.04625821113586426,2.927250385284424
460256.0,171543.0,147354.0,0.5474024738344434,0.2040235490009515,0.1752545195052331,0.06589460372924805,2.993144989013672
171757.0,171757.0,147354.0,0.20427806850618457,0.20427806850618457,0.1752545195052331,0.05114889144897461,3.0442938804626465
148969.0,148969.0,147354.0,0.1771753092293054,0.1771753092293054,0.1752545195052331,0.04811716079711914,3.0924110412597656
151112.0,151112.0,147354.0,0.17972407231208373,0.17972407231208373,0.1752545195052331,0.04672122001647949,3.139132261276245
300099.0,151112.0,147354.0,0.3569207897240723,0.17972407231208373,0.1752545195052331,0.05600333213806152,3.1951355934143066
202124.0,202124.0,147354.0,0.24039486203615604,0.24039486203615604,0.1752545195052331,0.05158424377441406,3.2467198371887207
170534.0,170534.0,147354.0,0.20282350142721217,0.20282350142721217,0.1752545195052331,0.04510021209716797,3.2918200492858887
170534.0,170534.0,147354.0,0.20282350142721217,0.20282350142721217,0.1752545195052331,0.045014381408691406,3.33683443069458
168391.0,168391.0,147354.0,0.20027473834443388,0.20027473834443388,0.1752545195052331,0.04646134376525879,3.383295774459839
191179.0,191179.0,147354.0,0.22737749762131304,0.22737749762131304,0.1752545195052331,0.04947042465209961,3.4327661991119385
190965.0,190965.0,147354.0,0.22712297811607993,0.22712297811607993,0.1752545195052331,0.04459238052368164,3.47735857963562
479678.0,479678.0,147354.0,0.5705019029495718,0.5705019029495718,0.1752545195052331,0.06362509727478027,3.5409836769104004
521277.0,479678.0,147354.0,0.6199774024738345,0.5705019029495718,0.1752545195052331,0.05978226661682129,3.6007659435272217
459209.0,459209.0,147354.0,0.546157231208373,0.546157231208373,0.1752545195052331,0.05951571464538574,3.6602816581726074
